id,Q1,Q2,Q3,Q4,Q5,Q6,Q7
1873728,C,B,A,B,A,A,B
6292826,B,B,A,B,A,B,B
31700873,B,A,B,B,A,B,C
39672922,B,A,B,B,A,B,C
72918630,C,A,A,B,A,A,B
88585744,C,B,A,A,A,A,A
97344146,B,A,B,A,B,B,C
109444762,C,B,A,A,B,A,A
165070370,C,B,A,A,B,A,A
175835676,B,A,B,A,B,B,C
178966363,B,A,A,A,B,B,C
182341219,B,B,A,B,A,A,A
216885820,C,B,A,B,A,A,B
218049846,C,B,A,B,A,A,B
219433381,B,A,B,B,B,B,C
243799407,B,A,B,B,A,A,B
247024863,C,B,A,B,A,A,C
265352838,C,B,A,A,B,A,A
266092150,C,B,A,A,B,A,B
280847097,C,B,A,B,B,A,A
284743606,A,A,A,A,B,B,C
285969802,A,A,B,A,A,B,C
311141742,B,A,B,B,A,B,C
311861136,B,A,B,A,A,B,C
325392247,C,A,B,A,B,A,B
329033253,B,A,B,A,A,B,C
345199822,C,B,A,A,B,A,A
352380518,A,A,B,A,B,B,C
358066578,C,B,A,A,A,A,A
369711791,B,A,B,A,B,B,C
379604236,B,A,B,B,A,B,C
390524954,B,A,A,A,A,A,C
415815332,B,B,A,A,A,A,A
427836902,C,B,A,A,B,B,A
443568113,B,A,B,B,A,B,C
446995789,C,A,A,B,A,B,B
452289167,B,A,B,B,A,B,C
456712325,C,B,A,A,B,A,A
458444286,C,A,B,B,A,B,C
480372482,A,A,B,B,A,B,C
486640035,B,A,B,A,A,B,C
511802589,C,A,B,A,A,B,A
515336129,C,B,A,A,B,A,B
522146989,A,A,B,A,A,B,C
523184139,B,A,A,B,A,A,C
523909268,C,B,A,B,A,A,A
530299916,B,A,A,B,A,A,C
539648958,C,B,A,B,B,B,B
556199541,B,A,B,A,B,B,C
563945657,B,A,A,A,B,B,C
565519767,C,B,A,A,B,A,A
628184053,C,A,B,B,A,B,C
682744340,C,B,A,A,B,B,A
683194672,B,A,A,A,A,A,C
756531584,B,A,A,A,B,B,C
822984583,C,B,A,A,A,A,A
968293102,B,B,A,A,A,A,A
976532479,B,A,B,B,A,A,C
1097920068,C,B,A,A,B,A,A
1139613029,C,A,B,B,A,A,C
1301398204,B,A,B,B,A,B,C
1351246086,C,B,A,A,B,A,A
1386606787,B,A,B,B,A,B,C
1386768513,B,A,B,B,A,B,C
