image_id,image_source,true_coordinate,sharing_intent
yfcc-1008954785,Flickr-yfcc_openai_train,"[36.996293, -121.985176]",0
yfcc-103950806,Flickr-yfcc_openai_train,"[-3.194561, 35.457344]",0
yfcc-1097920068,Flickr-yfcc_openai_train,"[37.587342, -122.364521]",0
yfcc-11014929335,Flickr-yfcc_openai_train,"[53.011961, -2.226409]",0
yfcc-118823655,Flickr-yfcc_openai_train,"[60.411818, 22.130584]",0
yfcc-1312551435,Flickr-yfcc_openai_train,"[39.846898, -75.712151]",0
yfcc-13363473424,Flickr-yfcc_openai_train,"[53.432037, -1.344687]",0
yfcc-14006146813,Flickr-yfcc_openai_train,"[19.422144, -155.91095]",0
yfcc-143845164,Flickr-yfcc_openai_train,"[18.908235, 72.814979]",0
yfcc-1558451712,Flickr-yfcc_openai_train,"[43.467956, 11.041388]",0
yfcc-1577153572,Flickr-yfcc_openai_train,"[6.923018, 0.453186]",0
yfcc-161142762,Flickr-yfcc_openai_train,"[40.760211, -111.885387]",0
yfcc-172416130,Flickr-yfcc_openai_train,"[40.768849, -73.972781]",0
yfcc-197392620,Flickr-yfcc_openai_train,"[32.92578, -85.851374]",0
yfcc-22380690,Flickr-yfcc_openai_train,"[40.941527, -90.371475]",0
yfcc-2475752216,Flickr-yfcc_openai_train,"[37.886701, -122.314047]",0
yfcc-252360535,Flickr-yfcc_openai_train,"[43.61669, -80.141143]",0
yfcc-259397758,Flickr-yfcc_openai_train,"[33.833919, -115.864562]",0
yfcc-2711089183,Flickr-yfcc_openai_train,"[48.940901, 8.410135]",0
yfcc-280847097,Flickr-yfcc_openai_train,"[52.192666, -0.826807]",0
yfcc-283181248,Flickr-yfcc_openai_train,"[48.894123, 2.343263]",0
yfcc-2833592610,Flickr-yfcc_openai_train,"[41.299218, -3.7502]",0
yfcc-2849499767,Flickr-yfcc_openai_train,"[37.871049, -122.252737]",0
yfcc-3019462916,Flickr-yfcc_openai_train,"[40.711135, -74.014709]",0
yfcc-3031378811,Flickr-yfcc_openai_train,"[-21.244212, 55.590713]",0
yfcc-3145002891,Flickr-yfcc_openai_train,"[-25.69939, -54.446198]",0
yfcc-315960562,Flickr-yfcc_openai_train,"[48.857444, 2.294147]",0
yfcc-3177222884,Flickr-yfcc_openai_train,"[8.75454, -82.425613]",0
yfcc-3257494210,Flickr-yfcc_openai_train,"[18.318703, -65.77123]",0
yfcc-3294321018,Flickr-yfcc_openai_train,"[35.685572, -121.169065]",0
